,date,Arizona Cardinals, Atlanta Falcons, Baltimore Ravens, Buffalo Bills, Carolina Panthers, Chicago Bears, Cincinnati Bengals, Cleveland Browns, Denver Broncos, Detroit Lions, Green Bay Packers, Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Kansas City Chiefs, Las Vegas Raiders, Los Angeles Chargers, Los Angeles Rams, Miami Dolphins, Minnesota Vikings, New England Patriots, New Orleans Saints, New York Giants, New York Jets, Philadelphia Eagles, Pittsburgh Steelers, San Francisco 49ers, Seattle Seahawks, Tampa Bay Buccaneers, Tennessee Titans, Washington Commanders, Dallas Cowboys
0,2021-09-09,3,9,29,3,6,8,1,8,13,7,3,11,5,6,2,4,1,1,8,8,5,9,8,9,6,2,2,6,13,4,7,28
1,2021-09-10,3,10,15,3,6,9,1,9,14,7,3,9,5,6,3,5,1,1,8,9,7,10,8,10,8,2,2,8,52,4,7,98
2,2021-09-11,3,9,7,3,6,9,1,9,14,6,3,8,5,6,3,4,1,1,8,9,5,9,8,8,7,2,2,8,4,7,8,9
3,2021-09-12,22,68,14,24,44,31,8,100,92,43,24,56,32,49,23,9,5,5,57,64,39,86,47,54,60,17,17,57,4,31,50,11
4,2021-09-13,7,18,27,5,12,82,2,28,38,14,10,17,9,17,7,17,15,15,25,15,12,28,18,15,18,6,6,14,3,7,15,8
5,2021-09-14,4,8,100,2,7,10,1,10,17,6,3,10,5,7,2,77,2,2,9,8,4,11,9,8,9,4,4,8,2,3,9,6
6,2021-09-15,4,7,9,2,5,7,1,9,13,5,2,9,4,5,2,8,1,1,8,7,4,9,9,7,7,3,3,7,1,3,8,5
7,2021-09-16,3,7,7,2,5,7,1,7,12,5,2,8,4,5,2,5,1,1,7,7,4,7,26,7,7,2,2,6,1,3,27,6
8,2021-09-17,3,7,6,2,5,7,1,9,12,5,2,8,4,5,2,6,1,1,7,7,4,7,100,8,9,2,2,8,2,3,100,7
9,2021-09-18,3,7,6,2,6,9,1,10,13,5,2,8,4,5,2,5,1,1,8,8,4,8,10,8,9,2,2,9,2,3,10,7
10,2021-09-19,29,69,24,14,42,63,8,74,74,13,7,49,26,37,9,37,7,7,51,64,31,64,12,51,64,16,16,68,19,29,12,54
11,2021-09-20,10,20,91,3,13,17,1,18,27,26,10,14,6,11,27,12,2,2,16,22,7,14,7,14,13,5,5,23,7,13,7,22
12,2021-09-21,4,8,10,2,8,9,1,9,15,71,35,10,4,6,3,7,2,2,8,9,4,8,6,7,7,3,3,8,2,4,5,7
13,2021-09-22,3,7,6,2,8,8,1,8,12,6,3,11,3,5,2,5,1,1,8,7,4,6,6,7,5,2,2,5,2,4,5,6
14,2021-09-23,3,7,5,2,23,7,1,8,11,5,2,33,4,5,2,5,1,1,7,7,4,5,6,6,6,2,2,7,2,4,5,6
15,2021-09-24,3,7,6,2,100,7,1,8,12,4,2,100,4,6,2,5,1,1,7,7,4,6,6,8,6,2,2,6,2,4,5,6
16,2021-09-25,4,7,6,2,9,9,1,9,13,5,3,7,3,5,2,6,1,1,8,8,4,7,7,7,6,3,3,7,2,4,5,7
17,2021-09-26,24,52,44,15,13,64,7,72,86,38,10,10,21,39,23,46,12,12,58,70,30,53,39,41,15,8,8,59,21,26,33,15
18,2021-09-27,7,12,15,4,10,17,2,18,38,11,33,7,6,12,6,19,5,5,21,24,8,13,14,18,24,24,24,19,9,6,8,24
19,2021-09-28,4,6,6,2,10,9,1,9,18,5,4,6,4,8,3,8,2,2,7,9,5,7,7,8,85,3,3,6,3,4,6,79
20,2021-09-29,4,6,5,2,8,13,1,8,14,4,3,5,3,8,2,6,1,1,6,8,5,6,6,6,7,2,2,5,2,4,4,7
21,2021-09-30,3,6,5,2,7,8,5,8,14,4,3,6,3,26,2,5,1,1,7,8,5,7,7,6,6,2,2,6,3,4,5,7
22,2021-10-01,3,7,6,2,7,9,19,9,15,5,3,5,3,100,2,5,1,1,7,7,6,6,6,7,6,2,2,6,3,5,5,7
23,2021-10-02,4,7,6,2,8,9,2,9,14,5,3,5,3,8,2,5,1,1,6,10,6,8,8,7,7,2,2,7,3,5,5,8
24,2021-10-03,28,54,40,14,51,62,2,69,100,33,24,37,19,10,19,12,9,9,32,58,28,62,40,59,49,17,17,59,13,33,35,71
25,2021-10-04,12,12,16,5,11,15,1,16,33,7,7,10,5,7,4,18,3,3,11,12,100,13,14,19,11,5,5,19,48,6,12,18
26,2021-10-05,8,7,8,3,6,11,1,9,15,5,3,7,3,10,2,71,2,2,8,7,8,6,8,9,6,2,2,8,4,3,7,9
27,2021-10-06,5,7,6,2,10,9,1,7,11,4,3,5,3,8,2,6,1,1,6,6,6,6,7,8,6,2,2,9,2,3,6,10
28,2021-10-07,6,8,5,2,8,8,1,8,11,4,3,5,3,6,2,4,4,4,5,6,4,5,8,7,5,2,2,27,2,3,5,8
29,2021-10-08,5,8,5,2,7,7,1,9,11,4,3,5,3,6,2,5,14,14,5,7,4,6,8,9,5,2,2,97,2,3,5,8
30,2021-10-09,4,9,5,2,7,8,1,9,13,4,3,6,3,6,2,6,1,1,7,8,4,7,12,9,7,2,2,13,2,3,6,8
31,2021-10-10,31,78,15,9,48,67,13,79,95,29,30,54,8,37,10,36,2,2,40,50,29,49,70,73,48,14,14,12,17,22,37,62
32,2021-10-11,15,9,25,42,10,21,2,28,20,9,7,11,18,14,41,14,1,1,11,14,7,11,28,10,12,5,5,8,5,6,9,27
33,2021-10-12,5,6,100,4,6,9,1,10,10,5,3,5,63,7,3,25,1,1,7,8,4,6,11,5,7,2,2,6,2,5,9,9
34,2021-10-13,4,5,9,3,5,8,1,8,10,4,3,5,5,5,2,8,1,1,6,7,3,5,10,4,7,1,1,5,2,3,7,7
35,2021-10-14,4,4,7,3,6,10,1,8,9,4,3,5,4,5,2,5,1,1,6,7,3,5,8,5,22,1,1,5,6,4,6,7
36,2021-10-15,8,5,7,2,6,10,1,11,10,4,3,5,4,6,2,5,1,1,6,7,4,5,13,5,74,1,1,7,27,4,7,8
37,2021-10-16,6,5,7,3,6,10,1,11,12,4,3,6,4,6,2,4,1,1,7,7,5,5,6,5,8,1,1,7,2,4,6,9
38,2021-10-17,39,19,49,6,41,78,7,84,84,29,27,30,23,69,19,32,6,6,57,60,42,19,39,14,11,5,5,27,5,10,42,79
39,2021-10-18,16,7,15,11,10,16,2,26,32,8,6,8,7,11,4,13,2,2,12,15,17,9,11,7,7,3,3,100,3,23,9,38
40,2021-10-19,6,5,8,32,5,8,1,13,12,4,3,6,4,5,2,5,1,1,7,7,4,7,6,6,5,2,2,15,2,66,5,10
41,2021-10-20,4,5,6,3,4,7,1,13,13,4,3,6,4,3,2,4,1,1,9,6,3,5,5,6,5,2,2,6,1,6,6,7
42,2021-10-21,4,7,6,2,5,7,1,31,37,4,3,5,3,3,2,4,1,1,9,6,3,5,5,5,5,2,2,6,1,5,5,6
43,2021-10-22,4,5,6,2,4,7,1,94,97,4,3,5,3,3,2,4,1,1,7,7,3,5,5,5,5,2,2,6,2,5,5,6
44,2021-10-23,5,6,7,2,5,9,1,10,11,4,4,5,3,4,2,5,1,1,7,7,4,6,5,6,6,2,2,7,2,5,7,8
45,2021-10-24,29,47,46,4,33,60,9,16,19,38,23,36,16,10,20,32,7,7,35,22,26,17,31,41,42,7,7,17,15,37,34,22
46,2021-10-25,14,11,11,2,10,21,3,9,10,12,6,12,42,5,5,12,3,3,11,9,7,25,10,14,15,16,16,24,6,9,7,10
47,2021-10-26,7,7,4,2,5,7,2,8,8,4,4,5,4,4,2,5,1,1,7,7,3,72,6,8,6,2,2,70,2,4,4,7
48,2021-10-27,6,6,4,2,5,6,1,7,8,4,4,8,4,3,1,4,1,1,9,7,3,9,5,6,5,2,2,6,2,3,5,6
49,2021-10-28,19,6,4,2,4,6,1,7,8,4,10,8,4,4,2,3,1,1,8,8,3,8,5,7,5,2,2,5,1,4,4,6
50,2021-10-29,81,6,4,2,5,6,1,8,10,4,44,5,4,3,2,4,1,1,7,9,4,8,5,7,6,2,2,6,2,4,4,8
51,2021-10-30,6,6,4,2,6,6,1,9,10,4,5,5,4,4,2,4,1,1,6,9,4,8,5,6,5,1,1,6,2,4,4,8
52,2021-10-31,6,48,14,13,28,54,9,75,66,32,5,29,30,29,5,10,5,5,33,34,26,82,11,62,32,10,10,37,19,30,27,30
53,2021-11-01,4,11,8,4,7,11,2,15,35,10,5,8,7,10,6,6,3,3,10,100,9,37,18,29,10,3,3,15,8,24,11,80
54,2021-11-02,3,7,5,3,5,7,1,9,16,5,5,6,4,5,27,10,2,2,9,10,5,14,59,14,7,2,2,6,2,9,5,10
55,2021-11-03,3,8,4,2,5,6,1,9,10,3,5,5,4,4,3,14,1,1,6,7,3,10,7,10,5,2,2,4,1,5,4,8
56,2021-11-04,3,5,5,2,5,6,1,11,9,3,4,5,14,4,2,10,1,1,5,7,3,8,6,28,5,2,2,4,1,4,3,8
57,2021-11-05,3,6,5,2,5,5,1,14,9,4,4,5,48,5,2,9,1,1,5,6,4,8,6,100,6,2,2,5,1,4,3,7
58,2021-11-06,4,7,6,2,5,6,1,11,11,4,4,4,4,5,2,8,1,1,6,8,4,8,6,9,6,2,2,5,2,4,4,9
