,date,Arizona Cardinals, Atlanta Falcons, Baltimore Ravens, Buffalo Bills, Carolina Panthers, Chicago Bears, Cincinnati Bengals, Cleveland Browns, Denver Broncos, Detroit Lions, Green Bay Packers, Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Kansas City Chiefs, Las Vegas Raiders, Los Angeles Chargers, Los Angeles Rams, Miami Dolphins, Minnesota Vikings, New England Patriots, New Orleans Saints, New York Giants, New York Jets, Philadelphia Eagles, Pittsburgh Steelers, San Francisco 49ers, Seattle Seahawks, Tampa Bay Buccaneers, Tennessee Titans, Washington Commanders, Dallas Cowboys
0,2021-09-09,3,9,28,3,6,8,1,8,13,7,3,12,5,6,2,4,1,1,8,8,5,9,8,9,6,2,2,6,13,4,6,27
1,2021-09-10,3,10,15,3,6,9,1,9,14,7,3,9,5,7,3,5,1,1,8,9,7,10,8,10,8,2,2,8,53,4,7,100
2,2021-09-11,3,9,7,3,6,9,1,10,14,6,3,8,5,6,3,4,1,1,8,9,5,9,8,8,7,2,2,8,4,7,7,9
3,2021-09-12,23,72,14,25,38,32,9,100,89,41,25,57,36,52,23,8,4,4,57,68,42,86,46,55,57,17,17,53,4,29,48,9
4,2021-09-13,7,18,29,5,12,83,2,31,38,14,10,18,9,17,7,16,15,15,24,15,13,31,19,16,18,6,6,14,3,7,15,7
5,2021-09-14,4,8,100,2,7,10,1,10,16,6,3,10,5,8,2,70,2,2,8,8,4,12,9,8,8,4,4,8,2,3,9,6
6,2021-09-15,3,7,9,2,5,8,1,9,12,5,2,9,4,5,2,8,1,1,7,7,4,9,9,7,7,3,3,7,1,3,8,5
7,2021-09-16,3,8,7,2,5,7,1,7,12,5,2,9,4,5,2,5,1,1,8,7,4,7,26,7,7,2,2,6,1,3,26,6
8,2021-09-17,3,7,6,2,5,7,1,9,12,5,2,8,4,5,2,5,1,1,7,7,4,7,100,8,8,2,2,8,2,3,100,6
9,2021-09-18,3,7,6,2,6,9,1,11,13,5,2,8,4,6,2,5,1,1,8,8,4,8,10,8,9,2,2,9,2,3,10,6
10,2021-09-19,28,64,24,14,43,62,7,78,68,13,7,53,27,38,9,36,7,7,48,62,31,66,12,50,59,16,16,67,19,26,11,52
11,2021-09-20,10,20,92,3,13,17,1,19,26,25,10,15,6,12,26,11,2,2,16,22,7,15,8,14,13,5,5,23,7,13,7,21
12,2021-09-21,4,8,10,2,9,9,1,10,15,72,35,11,5,6,3,6,2,2,8,9,4,8,7,8,7,3,3,8,2,4,5,7
13,2021-09-22,3,7,6,2,8,8,1,9,12,6,3,11,3,6,2,5,1,1,7,7,4,6,6,7,5,3,3,5,2,3,5,5
14,2021-09-23,3,7,5,2,23,7,1,8,11,5,2,34,4,5,2,5,1,1,7,7,4,5,6,6,6,2,2,6,2,4,5,6
15,2021-09-24,3,7,6,2,100,7,1,8,12,4,2,100,4,6,2,4,1,1,7,7,4,6,6,8,6,2,2,6,2,4,5,6
16,2021-09-25,4,7,6,2,9,9,1,10,13,5,3,8,4,5,2,5,1,1,8,9,4,7,7,7,6,3,3,7,2,4,5,6
17,2021-09-26,22,54,44,15,13,62,7,76,85,34,11,11,22,40,24,43,12,12,56,66,30,55,41,41,15,9,9,57,20,24,31,14
18,2021-09-27,7,12,16,4,10,20,2,19,38,11,33,7,6,12,6,18,5,5,20,24,8,13,14,18,24,24,24,18,9,6,8,23
19,2021-09-28,4,6,7,3,10,9,1,10,18,6,4,6,4,8,3,7,2,2,7,9,5,7,7,8,83,3,3,6,3,4,6,74
20,2021-09-29,4,6,5,2,8,13,1,8,14,4,3,5,3,8,2,5,1,1,6,8,5,6,6,6,7,2,2,5,2,4,4,8
21,2021-09-30,3,6,5,2,7,9,5,8,14,4,3,6,4,27,2,5,1,1,7,8,5,7,7,6,6,2,2,6,3,4,4,7
22,2021-10-01,3,7,6,2,7,9,18,9,14,5,3,6,3,100,2,5,1,1,7,7,6,6,6,7,6,2,2,6,3,5,5,7
23,2021-10-02,4,7,6,2,8,9,2,10,14,4,3,6,3,8,2,5,1,1,6,10,6,8,8,7,7,2,2,7,3,4,5,8
24,2021-10-03,28,57,39,14,53,61,2,73,100,33,24,39,19,11,18,12,8,8,31,64,28,64,38,58,50,17,17,60,14,29,32,67
25,2021-10-04,12,12,16,5,11,16,1,17,33,7,7,11,5,7,4,16,3,3,11,12,100,13,14,19,11,5,5,18,47,6,12,17
26,2021-10-05,8,7,8,3,6,11,1,9,15,5,3,7,3,10,2,65,2,2,7,7,8,6,8,9,6,2,2,8,4,3,7,9
27,2021-10-06,5,7,6,2,10,9,1,7,11,4,3,5,3,9,2,6,1,1,6,6,6,6,7,8,5,2,2,9,2,3,6,10
